"call","qso_date","time_on","band","comment","n3fjp_computername","contest_id","cont","country","dxcc","cqz","class","freq","n3fjp_initials","ituz","mode","n3fjp_modecontest","operator","tx_pwr","pfx","qsl_sent","qsl_rcvd","arrl_sect","station_callsign","n3fjp_spcnum","state","n3fjp_stationid","n3fjp_transmitterid",
"W5PC","20240622","180205","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","4A","21.29001","JP","07","SSB","PH","N7JP","100","W5","N","N","NTX","W7AVM","NTX","TX","N7JP-DX","0",
"NA4DC","20240622","180231","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","2A","28.075","CRH","08","FT8","DIG","KK7KAJ","100","NA4","N","N","SFL","W7AVM","SFL","FL","AF9W-Field","0",
"KC6SEH","20240622","180602","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1D","28.075","CRH","06","FT8","DIG","KK7KAJ","100","KC6","N","N","AZ","W7AVM","AZ","AZ","AF9W-Field","0",
"K7VOE","20240622","180901","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1D","28.07482","CRH","06","FT8","DIG","KK7KAJ","100","K7","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"K7LED","20240622","180915","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","03","6A","21.35600","JP","06","SSB","PH","N7JP","100","K7","N","N","WWA","W7AVM","WWA","WA","N7JP-DX","0",
"W7OTV","20240622","181111","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","4A","","DEA","06","SSB","PH","KK7BSG","100","W7","N","N","OR","W7AVM","OR","OR","MINISTWO","0",
"W4CQF","20240622","181231","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","7F","28.07482","CRH","08","FT8","DIG","KK7KAJ","100","W4","N","N","NFL","W7AVM","NFL","FL","AF9W-Field","0",
"N9BCN","20240622","181434","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","3A","21.33299","JP","08","SSB","PH","N7JP","100","N9","N","N","IN","W7AVM","IN","IN","N7JP-DX","0",
"K4VRC","20240622","181632","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","2A","28.07482","CRH","08","FT8","DIG","KK7KAJ","100","K4","N","N","NFL","W7AVM","NFL","FL","AF9W-Field","0",
"W6ARA","20240622","181732","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","2A","14.15694","ALW","06","SSB","PH","K6ZY","100","W6","N","N","SCV","W7AVM","SCV","CA","Shack-Main-Computer--ACER","0",
"N7KE","20240622","181732","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","3A","28.07482","CRH","06","FT8","DIG","KK7KAJ","100","N7","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"K1B","20240622","181754","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","5E","21.29300","JP","08","SSB","PH","N7JP","100","K1","N","N","NH","W7AVM","NH","NH","N7JP-DX","0",
"NW7GO","20240622","182001","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1D","28.07482","CRH","06","FT8","DIG","KK7KAJ","100","NW7","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"WA6TST","20240622","182044","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","4A","14.15990","ALW","06","SSB","PH","K6ZY","100","WA6","N","N","ORG","W7AVM","ORG","CA","Shack-Main-Computer--ACER","0",
"WV8AR","20240622","182150","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","2A","21.27400","JP","08","SSB","PH","N7JP","100","WV8","N","N","WV","W7AVM","WV","WV","N7JP-DX","0",
"KD7LEE","20240622","182232","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","1E","28.07482","CRH","06","FT8","DIG","KK7KAJ","100","KD7","N","N","WWA","W7AVM","WWA","WA","AF9W-Field","0",
"KC7VBT","20240622","182256","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","4A","","DEA","06","SSB","PH","KK7BSG","100","KC7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"KK6ZM","20240622","182617","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1D","","DEA","06","SSB","PH","KK7BSG","100","KK6","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"W8PI","20240622","182656","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","2F","21.25000","JP","08","SSB","PH","N7JP","100","W8","N","N","MI","W7AVM","MI","MI","N7JP-DX","0",
"W6ZE","20240622","182818","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","6A","14.20989","ALW","06","SSB","PH","K6ZY","100","W6","N","N","ORG","W7AVM","ORG","CA","Shack-Main-Computer--ACER","0",
"K6MMM","20240622","182915","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","3A","14.22642","ALW","06","SSB","PH","K6ZY","100","K6","N","N","SCV","W7AVM","SCV","CA","Shack-Main-Computer--ACER","0",
"NA4DC","20240622","183219","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","2A","21.26499","JP","08","SSB","PH","N7JP","100","NA4","N","N","SFL","W7AVM","SFL","FL","N7JP-DX","0",
"NU5DE","20240622","183921","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1E","21.29800","JP","07","SSB","PH","N7JP","100","NU5","N","N","STX","W7AVM","STX","TX","N7JP-DX","0",
"KB6YAF","20240622","184257","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1A","7.26305","DEA","06","SSB","PH","KK7BSG","100","KB6","N","N","EWA","W7AVM","EWA","WA","MINISTWO","0",
"W7TBC","20240622","184303","10M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","5D","28.074751","CRH","06","FT8","DIG","KK7KAJ","100","W7","N","N","AZ","W7AVM","AZ","AZ","AF9W-Field","0",
"AE7G","20240622","184513","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","6A","14.29900","ALW","06","SSB","PH","K6ZY","100","AE7","N","N","WWA","W7AVM","WWA","WA","Shack-Main-Computer--ACER","0",
